trial,tsc,delta,low8
743,9065882778868,70634462,244
744,9065952189916,69411048,220
745,9066024856181,72666265,117
746,9066101762703,76906522,143
747,9066173599835,71837132,91
748,9066246973784,73373949,88
749,9066319960060,72986276,252
750,9066388257303,68297243,23
751,9066467822992,79565689,144
752,9066534843659,67020667,11
753,9066609585912,74742253,248
754,9066679550420,69964508,212
755,9066750390171,70839751,155
756,9066827248206,76858035,78
757,9066900002193,72753987,145
758,9066971132692,71130499,20
759,9067043166904,72034212,184
760,9067111815614,68648710,190
761,9067188527256,76711642,152
762,9067256604512,68077256,96
763,9067334497990,77893478,198
764,9067406311095,71813105,183
765,9067476084061,69772966,93
766,9067551831393,75747332,97
767,9067621136455,69305062,71
768,9067692773083,71636628,219
769,9067767319283,74546200,243
770,9067838046920,70727637,200
771,9067913062147,75015227,3
772,9067982130843,69068696,155
773,9068058480272,76349429,144
774,9068128414179,69933907,227
775,9068201758366,73344187,158
776,9068275116397,73358031,109
777,9068346440061,71323664,125
778,9068421956705,75516644,97
779,9068491718508,69761803,108
780,9068564058389,72339881,21
781,9068637536196,73477807,196
782,9068709985889,72449693,97
783,9068784158321,74172432,113
784,9068858668605,74510284,61
785,9068927133797,68465192,101
786,9069001622094,74488297,78
787,9069070814336,69192242,128
788,9069146859614,76045278,94
789,9069217796599,70936985,247
790,9069288944916,71148317,20
791,9069361526640,72581724,112
792,9069438295233,76768593,193
793,9069509976890,71681657,58
794,9069583793599,73816709,191
795,9069652704908,68911309,140
796,9069726799701,74094793,85
797,9069800490035,73690334,51
798,9069871125377,70635342,129
799,9069944917767,73792390,7
800,9070016449448,71531681,168
801,9070103176191,86726743,255
802,9070164106626,60930435,130
803,9070235477395,71370769,147
804,9070307084315,71606920,27
805,9070377687649,70603334,97
806,9070453137809,75450160,145
807,9070523550772,70412963,52
808,9070597437887,73887115,191
809,9070670791430,73353543,6
810,9070741177659,70386229,59
811,9070816662224,75484565,208
812,9070886505522,69843298,50
813,9070959618683,73113161,123
814,9071034287460,74668777,100
815,9071104525099,70237639,43
816,9071176667307,72142208,171
817,9071250529254,73861947,230
818,9071324332679,73803425,135
819,9071399084342,74751663,54
820,9071467177949,68093607,221
821,9071545750350,78572401,78
822,9071615955878,70205528,166
823,9071687623367,71667489,199
824,9071757430919,69807552,135
825,9071831381584,73950665,80
826,9071905625223,74243639,135
827,9071979050114,73424891,130
828,9072048967675,69917561,251
829,9072120259685,71292010,101
830,9072192143513,71883828,153
831,9072275904355,83760842,99
832,9072335829426,59925071,178
833,9072410067827,74238401,115
834,9072481238204,71170377,188
835,9072557497576,76259372,232
836,9072630960787,73463211,147
837,9072697892666,66931879,58
838,9072775143807,77251141,127
839,9072845581911,70438104,87
840,9072916998621,71416710,221
841,9072994343653,77345032,229
842,9073065243698,70900045,50
843,9073135795762,70552064,50
844,9073207725434,71929672,122
845,9073282711138,74985704,98
846,9073359975636,77264498,212
847,9073426054809,66079173,153
