trial,tsc,delta,low16,low8
772,93202924792257,72473408,27073,193
773,93202996468445,71676188,6877,221
774,93203075624294,79155849,60774,102
775,93203151666506,76042212,15690,74
776,93203214753270,63086764,56822,246
777,93203288902220,74148950,19020,76
778,93203361207445,72305225,38037,149
779,93203435276001,74068556,50913,225
780,93203508504272,73228271,9936,208
781,93203578882335,70378063,2335,31
782,93203652911777,74029442,41633,161
783,93203727247851,74336074,59883,235
784,93203796017877,68770026,17109,213
785,93203870046290,74028413,55378,82
786,93203945606788,75560498,52868,132
787,93204013513025,67906237,63809,65
788,93204089185246,75672221,41950,222
789,93204159633123,70447877,38627,227
790,93204232346628,72713505,7172,4
791,93204304333987,71987359,36003,163
792,93204376485409,72151422,32289,33
793,93204451843704,75358295,24184,120
794,93204525799834,73956130,55706,154
795,93204599009926,73210092,62086,134
796,93204667479007,68469081,46047,223
797,93204738687541,71208534,16949,53
798,93204814354416,75666875,55280,240
799,93204884772720,70418304,22384,112
800,93204958077822,73305102,58238,126
801,93205029958460,71880638,45884,60
802,93205103963504,74005044,60784,112
803,93205174336995,70373491,48611,227
804,93205248587132,74250137,46460,124
805,93205321981637,73394505,40645,197
806,93205394089957,72108320,59365,229
807,93205464077430,69987473,54390,118
808,93205539569778,75492348,49266,114
809,93205611993143,72423365,55351,55
810,93205683090253,71097110,45901,77
811,93205754572042,71481789,27914,10
812,93205825884146,71312104,36850,242
813,93205901433891,75549745,23587,35
814,93205973896448,72462557,3328,0
815,93206046724550,72828102,20934,198
816,93206120445731,73721181,14115,35
